violation_code,state_code,override_fine,authority,effective_date,section,description_en,source_title,source_url,verified_on,note
181,DL,5000,Delhi Traffic Police published penalty schedule,2019-09-01,,Driving without a valid driving licence.,Delhi Traffic Police traffic offences page,https://traffic.delhipolice.gov.in,2026-05-30,"Delhi follows central driving without license fine of ₹5,000."
181,TN,5000,Home Department (Transport-VII),2022-10-20,,Driving without a valid driving licence.,Tamil Nadu Government Gazette Extraordinary No. II(2)/HO/811(a)/2022,https://www.stationeryprinting.tn.gov.in/extraordinary/2022/491_Ex_II_2.pdf,2026-05-30,"Tamil Nadu driving without license fine set to ₹5,000."
194B,TN,1000,Home Department (Transport-VII),2022-10-20,Section 194B,Failure to wear seat belt.,Tamil Nadu Government Gazette Extraordinary No. II(2)/HO/811(a)/2022,https://www.stationeryprinting.tn.gov.in/extraordinary/2022/491_Ex_II_2.pdf,2026-05-30,"Tamil Nadu seat belt violation compounding fee set to ₹1,000."
194C,TN,1000,Home Department (Transport-VII),2022-10-20,Section 194C,Triple riding on a two-wheeler.,Tamil Nadu Government Gazette Extraordinary No. II(2)/HO/811(a)/2022,https://www.stationeryprinting.tn.gov.in/extraordinary/2022/491_Ex_II_2.pdf,2026-05-30,"Tamil Nadu triple riding compounding fee set to ₹1,000."
194B,AP,1000,Andhra Pradesh Transport Department,2019-10-01,Section 194B,Failure to wear seat belt.,AP Motor Vehicles Amendment Rules 2019,https://aptransport.org,2026-05-30,"Andhra Pradesh adopted central seat belt fine of ₹1,000."
194C,AP,1000,Andhra Pradesh Transport Department,2019-10-01,Section 194C,Triple riding on a two-wheeler.,AP Motor Vehicles Amendment Rules 2019,https://aptransport.org,2026-05-30,"Andhra Pradesh adopted central triple riding fine of ₹1,000."
194D,TS,1000,Telangana Transport Department,2019-09-01,Section 194D,Failure to wear protective headgear.,Telangana Motor Vehicles Amendment notification 2019,https://transport.telangana.gov.in,2026-05-30,"Telangana adopted central helmet fine of ₹1,000."
194B,TS,1000,Telangana Transport Department,2019-09-01,Section 194B,Failure to wear seat belt.,Telangana Motor Vehicles Amendment notification 2019,https://transport.telangana.gov.in,2026-05-30,"Telangana adopted central seat belt fine of ₹1,000."
194D,UP,1000,Uttar Pradesh Transport Department,2019-09-01,Section 194D,Failure to wear protective headgear.,UP MV Amendment notification September 2019,https://uptransport.upsdc.gov.in,2026-05-30,"Uttar Pradesh adopted central helmet fine of ₹1,000."
194B,UP,1000,Uttar Pradesh Transport Department,2019-09-01,Section 194B,Failure to wear seat belt.,UP MV Amendment notification September 2019,https://uptransport.upsdc.gov.in,2026-05-30,"Uttar Pradesh adopted central seat belt fine of ₹1,000."
194D,WB,1000,West Bengal Transport Department,2019-09-01,Section 194D,Failure to wear protective headgear.,West Bengal MV Amendment notification September 2019,https://transport.wb.gov.in,2026-05-30,"West Bengal adopted central helmet fine of ₹1,000."
194B,WB,1000,West Bengal Transport Department,2019-09-01,Section 194B,Failure to wear seat belt.,West Bengal MV Amendment notification September 2019,https://transport.wb.gov.in,2026-05-30,"West Bengal adopted central seat belt fine of ₹1,000."
